Ref,Val,Package,PosX,PosY,Rot,Side
"BTT1","B+","MY-18650-01_flat-top",100.000000,-77.000000,90.000000,bottom
"BTT2","B-","MY-18650-01_flat-top",100.000000,-123.000000,-90.000000,bottom
"C1","100nF","C_0402_1005Metric",87.516312,-94.743462,67.500000,top
"C2","100nF","C_0402_1005Metric",86.450000,-99.930000,90.000000,top
"C3","100nF","C_0402_1005Metric",87.433688,-105.073462,112.500000,top
"C4","100nF","C_0402_1005Metric",90.329411,-109.469411,135.000000,top
"C5","100nF","C_0402_1005Metric",94.743462,-112.523688,157.500000,top
"C6","100nF","C_0402_1005Metric",99.930000,-113.530000,180.000000,top
"C7","100nF","C_0402_1005Metric",105.123462,-112.526312,-157.500000,top
"C8","100nF","C_0402_1005Metric",109.490000,-109.650000,-135.000000,top
"C9","100nF","C_0402_1005Metric",112.530000,-105.180000,-112.500000,top
"C10","100nF","C_0402_1005Metric",113.530000,-100.070000,-90.000000,top
"C11","100nF","C_0402_1005Metric",112.520000,-94.900000,-67.500000,top
"C12","100nF","C_0402_1005Metric",109.610000,-90.510000,-45.000000,top
"C13","100nF","C_0402_1005Metric",105.270000,-87.530000,-22.500000,top
"C14","100nF","C_0402_1005Metric",100.020000,-86.460000,0.000000,top
"C15","100nF","C_0402_1005Metric",94.830000,-87.470000,22.500000,top
"C16","100nF","C_0402_1005Metric",90.530000,-90.340000,45.000000,top
"C17","10uF","CP_EIA-3216-18_Kemet-A",78.800000,-103.100000,-90.000000,top
"C18","1uF","C_0402_1005Metric",96.867254,-111.517650,0.000000,top
"C19","1uF","C_0402_1005Metric",97.366666,-109.397370,90.000000,top
"C20","100nF","C_0402_1005Metric",106.809361,-124.089927,-157.500000,top
"C21","100nF","C_0402_1005Metric",107.154432,-124.975266,22.500000,top
"C22","100nF","C_0402_1005Metric",108.863609,-124.267302,22.500000,top
"C23","100nF","C_0402_1005Metric",108.755603,-120.740145,-67.500000,top
"C24","100nF","C_0402_1005Metric",108.500060,-123.389616,-157.500000,top
"C25","1uF","C_0402_1005Metric",107.323497,-122.848692,22.500000,top
"C26","100nF","C_0402_1005Metric",110.033688,-123.293462,112.500000,top
"C27","100nF","C_0402_1005Metric",103.112500,-100.625001,90.000000,top
"C28","22uF","C_0805_2012Metric",106.262502,-100.725001,0.000000,top
"C29","4.7uF","C_0402_1005Metric",104.062499,-100.654999,-90.000000,top
"C30","10uF","C_0603_1608Metric",99.912502,-98.100000,-90.000000,top
"C31","10uF","C_0603_1608Metric",98.412503,-96.599999,90.000000,top
"C32","10uF","C_0603_1608Metric",99.912503,-95.099998,90.000000,top
"C33","1uF","C_0402_1005Metric",106.954996,-99.199998,180.000000,top
"C65","10uF","C_0402_1005Metric",116.668462,-72.108688,-22.500000,top
"C66","1uF","C_0402_1005Metric",110.698821,-69.616312,-22.500000,top
"C67","1uF","C_0402_1005Metric",97.710004,-89.880000,-90.000000,top
"C68","1uF","C_0402_1005Metric",92.700001,-68.099999,-67.500000,top
"C69","1uF","C_0402_1005Metric",125.637183,-110.959219,-112.500000,top
"C70","1uF","C_0402_1005Metric",127.804559,-109.822293,-22.500000,top
"C71","10uF","C_0402_1005Metric",94.100001,-96.845000,90.000000,top
"C72","10uF","C_0402_1005Metric",94.099999,-98.764999,-90.000000,top
"C73","100nF","C_0402_1005Metric",91.620000,-95.344996,0.000000,top
"C74","10uF","C_0402_1005Metric",89.140001,-98.765001,-90.000000,top
"C75","10uF","C_0402_1005Metric",89.140000,-96.915001,90.000000,top
"D1","SK6812MINI-012","XXXX12-X1",84.000000,-100.000000,90.000000,top
"D2","SK6812MINI-012","XXXX12-X1",85.200000,-106.100000,112.500000,top
"D3","SK6812MINI-012","XXXX12-X1",88.650000,-111.250000,135.000000,top
"D4","SK6812MINI-012","XXXX12-X1",93.850000,-114.800000,157.500000,top
"D5","SK6812MINI-012","XXXX12-X1",100.000000,-116.000000,180.000000,top
"D6","SK6812MINI-012","XXXX12-X1",106.100000,-114.800000,-157.500000,top
"D7","SK6812MINI-012","XXXX12-X1",111.300000,-111.350000,-135.000000,top
"D8","SK6812MINI-012","XXXX12-X1",114.800000,-106.100000,-112.500000,top
"D9","SK6812MINI-012","XXXX12-X1",116.000000,-99.950000,-90.000000,top
"D10","SK6812MINI-012","XXXX12-X1",114.800000,-93.900000,-67.500000,top
"D11","SK6812MINI-012","XXXX12-X1",111.300000,-88.700000,-45.000000,top
"D12","SK6812MINI-012","XXXX12-X1",106.150000,-85.250000,-22.500000,top
"D13","SK6812MINI-012","XXXX12-X1",100.000000,-84.000000,0.000000,top
"D14","SK6812MINI-012","XXXX12-X1",93.850000,-85.200000,22.500000,top
"D15","SK6812MINI-012","XXXX12-X1",88.750000,-88.650000,45.000000,top
"D16","SK6812MINI-012","XXXX12-X1",85.250000,-93.850000,67.500000,top
"F1","4A","Fuse_1206_3216Metric",101.150000,-79.600000,180.000000,top
"H5","Tooling hole","ToolingHole_JLCSMT",89.000000,-130.500000,0.000000,top
"H6","Tooling hole","ToolingHole_JLCSMT",106.800000,-68.750000,0.000000,top
"J1","Power key","PinHeader_1x02_P2.54mm_Vertical",68.850000,-107.900000,90.000000,top
"J2","Strapping","PinHeader_1x03_P2.54mm_Vertical",92.600000,-78.030000,180.000000,top
"J3","I2C","PinHeader_1x03_P2.54mm_Vertical",125.502981,-120.868127,145.000000,top
"J4","USB board","0.5K-QX-16PWB_16Pin_0.5mm",77.100000,-100.000000,-90.000000,top
"L2","2.2uH","L_Taiyo-Yuden_MD-4040",100.412502,-102.000001,180.000000,top
"L4","2.2uH","L_Taiyo-Yuden_MD-4040",91.600000,-102.045001,180.000000,top
"Q1","AO3400A","SOT-23",112.133863,-127.458766,22.500000,top
"Q2","AO3400A","SOT-23",114.400000,-126.500000,22.500000,top
"R1","10k","R_0402_1005Metric",103.850000,-90.900000,45.000000,top
"R2","100R","R_0402_1005Metric",75.750000,-93.850000,90.000000,top
"R3","220R","R_0402_1005Metric",103.612502,-93.900000,0.000000,top
"R4","10mR","R_0805_2012Metric",108.448037,-128.032979,22.500000,top
"R5","100R","R_0402_1005Metric",107.278270,-126.450144,112.500000,top
"R6","100R","R_0402_1005Metric",108.159783,-126.095834,112.500000,top
"R7","100R","R_0402_1005Metric",108.047639,-119.030968,-67.500000,top
"R8","1k","R_0402_1005Metric",114.900000,-123.400000,112.500000,top
"R9","10k","R_0402_1005Metric",105.105463,-122.641744,-67.500000,top
"R10","100R","R_0402_1005Metric",109.060390,-122.129247,-157.500000,top
"R11","100R","R_0402_1005Metric",110.700000,-121.150000,22.500000,top
"R12","100R","R_0402_1005Metric",106.392582,-119.608276,-157.500000,top
"R13","10k","R_0402_1005Metric",102.612502,-92.900002,0.000000,top
"R14","10k","R_0402_1005Metric",101.612502,-93.900000,180.000000,top
"R15","10k","R_0402_1005Metric",107.512504,-95.885000,90.000000,top
"R16","10k","R_0402_1005Metric",106.512501,-95.889998,90.000000,top
"R17","10k","R_0402_1005Metric",107.512503,-97.760001,90.000000,top
"R18","10k","R_0402_1005Metric",106.512500,-97.805000,90.000000,top
"R19","330","R_0402_1005Metric",79.089999,-99.500000,0.000000,top
"R20","330","R_0402_1005Metric",79.100000,-98.500000,0.000000,top
"R21","10k","R_0402_1005Metric",126.208362,-113.379386,157.500000,top
"R22","10k","R_0402_1005Metric",101.800005,-89.199996,-90.000000,top
"R23","100k","R_0402_1005Metric",106.304831,-73.371179,67.500000,top
"R43","10k","R_0402_1005Metric",90.300000,-72.500000,90.000000,top
"R44","100k","R_0402_1005Metric",112.478821,-70.354831,157.500000,top
"R45","4.7k","R_0402_1005Metric",105.550000,-75.150000,-112.500000,top
"R46","4.7k","R_0402_1005Metric",114.671179,-71.245169,157.500000,top
"R48","0R","R_0402_1005Metric",89.700004,-95.345001,0.000000,top
"R49","DNP","R_0402_1005Metric",90.700002,-94.344999,0.000000,top
"REF**","Fiducial_JLCSMT","Fiducial_JLCSMT",137.650000,-62.350000,0.000000,top
"REF**","MouseBites_JLCSMT","MouseBites_JLCSMT",72.870000,-120.760000,126.800000,top
"REF**","Fiducial_JLCSMT","Fiducial_JLCSMT",62.350000,-62.350000,0.000000,top
"REF**","ToolingHole_JLCSMT","ToolingHole_JLCSMT",66.000000,-138.000000,0.000000,top
"REF**","ToolingHole_JLCSMT","ToolingHole_JLCSMT",66.000000,-62.000000,0.000000,top
"REF**","Fiducial_JLCSMT","Fiducial_JLCSMT",62.350000,-137.650000,0.000000,top
"REF**","ToolingHole_JLCSMT","ToolingHole_JLCSMT",134.000000,-62.000000,0.000000,top
"REF**","MouseBites_JLCSMT","MouseBites_JLCSMT",74.521517,-77.190858,48.500000,top
"REF**","MouseBites_JLCSMT","MouseBites_JLCSMT",127.431890,-105.128447,-11.000000,top
"REF**","MouseBites_JLCSMT","MouseBites_JLCSMT",120.757508,-127.411714,37.500000,top
"REF**","ToolingHole_JLCSMT","ToolingHole_JLCSMT",134.000000,-138.500000,0.000000,top
"REF**","Fiducial_JLCSMT","Fiducial_JLCSMT",137.650000,-137.650000,0.000000,top
"U1","ESP32-C3-MINI-1","ESP32-C3-MINI-1",111.265129,-77.684773,-112.500000,top
"U2","BQ27546","DSBGA-15_BQ27546_I2C_1.95x2.6mm_P0.5mm",106.711860,-121.424333,112.500000,top
"U3","SRV05-4","SOT-23-6",81.487013,-92.387364,67.500000,top
"U4","FM2113","SOT-23-6",112.437012,-123.212635,112.500000,top
"U5","SPL06-001","LGA-8_2x2.5mm_P0.65mm",127.154559,-111.722294,-112.500000,top
"U6","~","ST_HCLGA-4LD_3x4mm",90.443690,-69.539870,112.500000,top
"U7","LTR-303ALS-01","Lite-On_LTR-303ALS-01",99.750003,-89.849996,0.000000,top
"U8","BQ24295","QFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm",103.375000,-97.049999,180.000000,top
"U9","TPS63001","Texas_DRC0010J_ThermalVias.3",91.600000,-97.845002,90.000000,top
"U10","LIS3DH","LGA-16_3x3mm_P0.5mm_LayoutBorder3x5y",99.658209,-110.253945,90.000000,top
